id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
118339982~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1669824381680,1,0,bugging,0,0,nguyen linh,118339982
116733100~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1667405424231,1,0,Got plagiarism because I countered an error and it never got fixed,0,0,ThangNTSE183159,116733100
114802199~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1663914381967,1,0,l​ike sheet,0,0,BaoDGSE171677,114802199
100295273~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1643248649745,1,0,Awful course,0,0,Truong Quang Hong Phuc (K17 HCM),100295273
54737387~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1636803295237,1,0,"I'm really sorry, but I accidentally enrolled in this course. Now I can't unenroll from it as there isn't any option to do so.",0,0,RAJ SRIKAR,54737387
86685207~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1626615279931,1,0,ngu lồn,0,0,Deleted Account,86685207
46265129~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1614761750831,1,0,I am unable to complete the course due to errors in quizzes,0,0,Sara Phoebe  Crowley,46265129
66178349~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1601437792891,1,0,I hate study,0,0,Trần Minh Đức,66178349
59462358~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1595004729154,1,0,"The course is very good.  But I am NOT SATISFIED that the it takes the University such a long time to complete the Peer Assessment.  It has been more than 2 months and I still have not obtained my certificate. If there is no peers doing the assessment, my course status will forever be in 'Progress'.  I feel that it is the responsibility of the University and the course leaders to mark our work and award the certificate so that we can graduate from the course.  There are many many of us are in this situation.  Please review the course SOP so that those who take up the course will have a enjoyable journey and also proper award.  For now I make sure I stay away from any courses in Coursera that asks us to do 'Peer Assessment' as we will never get the certificate.  My HR dept will not regard that I have completed the course without the certificate, which is very upsetting as I had spent many hours completing the course. Thanks for looking into the matter urgently. ",0,1,CHIA YIP PING,59462358
61177917~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1591189005392,1,0,HMMM,0,0,AnVHSA150051,61177917
115287724~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1666354622628,2,0,O​ curso é bom porém o questionário está com problema,0,0,Merielem Frasson Da Silva,115287724
101890938~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1664617748582,2,0,g​tdhfgfjhg,0,0,Deleted Account,101890938
116659523~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1669274367633,3,0,"I need the certificate for university, complete 6 weeks before university's deadline and also receive completed course mail. Thought it was done but after a few days I realize that I don't get the certificate yet, so I turn back to get the certicate and the course write on the certificate the day I receive the certificate (overdue the deadline) instead of the day that I completed the course? So my hard work to done the course before deadline is just to throw away ",0,0,TranNHBSE182378,116659523
117953543~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1668693064830,3,0,ok,0,0,QuanNMHE170463,117953543
114770994~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1663726070062,3,0,n​ot good,0,0,Do Huynh Anh Khoi (K17 CT),114770994
104010966~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1648874874121,3,0,​it is very important and valuable,0,0,Dulakshika Harindi Dissanayaka ,104010966
86322368~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1628420594547,3,0,idk,0,0,LocLHSE161914,86322368
86830141~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1624853884888,3,0,nearly bad,0,0,Nguyen Thanh Thien (FUG CT),86830141
47914215~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1581410954836,3,0,"The learning process was quite simple and straight-forward. However the final assignment was frustrating to complete due to bugs and broken links. The peer to peer review system still has flaws as the review screen becomes a mess of interloping text, making it impossible to read the submissions.",0,1,MinhLNHE150359,47914215
118296981~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1669307351917,4,0,good,0,0,duyendtmds170263,118296981
114618296~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1667965181609,4,0,good ,0,0,Deleted Account,114618296
115112538~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1663903023157,4,0,q​uiz tooi,0,0,Deleted Account,115112538
111120196~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1658765116265,4,0,nice,0,0,Ngọc Đỗ Thị,111120196
107177097~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1654748978518,4,0,this course has good information ,0,0,Doan Le Hien Minh (K17 HCM),107177097
104041434~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1648681699434,4,0,It's useful to every academic students 😀  and I learned most valuable things about academic studying lifestyle. ,0,0,Shaini Sithara,104041434
96309361~COURSE!~6Oh26OW4EeWy1RKsaf3f1w,1648049544997,4,0,it's fine,0,0,Pham Nguyen Hoang Quang (K17 HL),96309361
